id,item,price,description,details,notes
277,Bread - Granary Small Pull,40.39,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.",ullamcorper purus sit,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.
278,"Chicken - Thigh, Bone In",9.92,In quis justo.,vitae quam suspendisse,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo."
279,"Rice Pilaf, Dry,package",78.09,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy.,mauris morbi non,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.
280,Chicken - Soup Base,7.1,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",convallis tortor risus dapibus,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.
281,Apples - Spartan,40.34,"Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",dis parturient montes nascetur,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem."
282,Creme De Menthe Green,24.81,Duis at velit eu est congue elementum.,aliquet at feugiat non,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis."
283,Orange Roughy 6/8 Oz,33.57,Phasellus in felis. Donec semper sapien a libero. Nam dui.,diam cras pellentesque volutpat,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.
284,Lettuce Romaine Chopped,38.31,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.",tempus vel pede morbi porttitor,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.
285,"Pepsi - Diet, 355 Ml",12.63,"Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",donec vitae nisi,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.
286,"Lamb - Leg, Bone In",32.03,"In est risus, auctor sed, tristique in, tempus sit amet, sem.",volutpat convallis morbi,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.
287,Pastry - Choclate Baked,31.03,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",eget tincidunt eget tempus,Phasellus in felis. Donec semper sapien a libero. Nam dui.
288,Wine - Rioja Campo Viejo,67.69,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,blandit mi in,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat."
289,Cheese Cloth,76.72,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",tempus vel pede,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis."
290,Sobe - Orange Carrot,8.37,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",mi sit amet lobortis,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.
291,Magnotta - Bel Paese White,17.16,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,pede posuere nonummy integer,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros."
292,Tilapia - Fillets,13.87,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",vel nisl duis,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem."
293,Beef - Cow Feet Split,76.84,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",eu massa donec,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.
294,Olives - Nicoise,61.89,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.",ipsum primis in faucibus,In congue. Etiam justo. Etiam pretium iaculis justo.
295,Chocolate Bar - Oh Henry,83.96,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",et magnis dis parturient montes,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus."
296,Beets - Mini Golden,5.2,Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus.,vivamus vel nulla eget eros,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.
297,Pear - Asian,89.37,Ut at dolor quis odio consequat varius.,et magnis dis parturient montes,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque."
298,Cake - Cake Sheet Macaroon,4.52,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,lobortis vel dapibus,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.
299,"Pasta - Penne, Rigate, Dry",91.15,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl.,vehicula consequat morbi,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.
300,Cheese - Gouda,56.76,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",pulvinar lobortis est,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est."
301,Coriander - Seed,3.7,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.",consectetuer adipiscing elit,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus."
302,Pickle - Dill,2.8,Suspendisse accumsan tortor quis turpis. Sed ante.,venenatis non sodales,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui."
303,Almonds Ground Blanched,95.23,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.",ligula suspendisse ornare consequat,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.
304,Pastry - Banana Muffin - Mini,15.59,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",a suscipit nulla,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus."
305,Squash - Acorn,15.0,Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,ipsum aliquam non mauris,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis."
306,Lychee,40.88,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",viverra dapibus nulla suscipit ligula,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.
307,Lemon Balm - Fresh,1.09,Integer non velit.,fusce lacus purus,In congue. Etiam justo. Etiam pretium iaculis justo.
308,Beef - Texas Style Burger,83.15,Proin at turpis a pede posuere nonummy. Integer non velit.,ante vel ipsum praesent blandit,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.
309,Soup Campbells Split Pea And Ham,18.68,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,nunc donec quis,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.
310,Taro Leaves,50.64,"Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",justo sollicitudin ut suscipit a,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.
311,Cheese - Ermite Bleu,31.02,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla.",diam neque vestibulum eget vulputate,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.
312,Mushroom - Portebello,9.91,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,blandit ultrices enim lorem,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus."
313,Cream - 18%,78.27,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",aliquam quis turpis eget elit,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.
314,Lambcasing,2.99,Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh.,eget eros elementum pellentesque quisque,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus."
315,"Pepper - Black, Whole",94.83,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",ligula suspendisse ornare consequat,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.
316,"Roe - Lump Fish, Red",35.86,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.",diam id ornare imperdiet,Sed ante. Vivamus tortor. Duis mattis egestas metus.
317,Chips - Miss Vickies,20.06,"Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",posuere metus vitae,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius."
318,Juice - Happy Planet,67.47,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",sed nisl nunc,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.
319,"Tea - Darjeeling, Azzura",31.12,Aenean sit amet justo. Morbi ut odio.,justo sollicitudin ut suscipit a,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros."
320,"Beef - Roasted, Cooked",21.99,Vivamus tortor. Duis mattis egestas metus.,augue vel accumsan tellus,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
321,Breadfruit,70.9,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",natoque penatibus et magnis,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero."
322,Lettuce - Iceberg,21.5,Sed ante. Vivamus tortor.,dui vel nisl duis,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
323,Oneshot Automatic Soap System,2.96,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,tempus vivamus in felis,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.
324,Worcestershire Sauce,11.34,"Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",at velit vivamus vel nulla,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque."
325,Sauce - Alfredo,73.44,Nulla tempus.,ut massa quis,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.
326,Coffee - Cafe Moreno,79.02,Curabitur gravida nisi at nibh.,porttitor id consequat in consequat,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."
327,Chocolate - Sugar Free Semi Choc,76.62,In quis justo.,nulla integer pede justo,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem."
328,Thyme - Dried,98.36,Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum.,malesuada in imperdiet,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.
329,Peppercorns - Pink,81.1,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",nam tristique tortor,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem."
330,Carbonated Water - Peach,27.19,"Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",eget rutrum at lorem,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis."
331,"Chocolate - Pistoles, Lactee, Milk",80.6,Curabitur convallis.,sapien varius ut blandit,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui."
332,Sauce - Hollandaise,36.5,Nulla tellus. In sagittis dui vel nisl. Duis ac nibh.,quisque id justo,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem."
333,Pasta - Fusili Tri - Coloured,89.78,Aenean lectus.,eleifend pede libero quis orci,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.
334,Crab - Soft Shell,21.22,In quis justo. Maecenas rhoncus aliquam lacus.,donec odio justo sollicitudin,Sed ante. Vivamus tortor. Duis mattis egestas metus.
335,Yams,33.39,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",ridiculus mus etiam vel augue,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.
336,Sterno - Chafing Dish Fuel,12.23,Nulla ut erat id mauris vulputate elementum.,accumsan tortor quis turpis,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.
